Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
VidMob,United States,B2B Software,50000000,Series C,Feb-21
Thrasio,United States,B2B Software,750000000,Series D,Feb-21
SmartHop,United States,B2B Software,12000000,Series A,Feb-21
Fabric,United States,B2B Software,43000000,Series A,Feb-21
Rarible,United States,Blockchain,1750000,Seed,Feb-21
Casa,United States,Blockchain,4000000,Seed,Feb-21
Opyn,United States,Blockchain,6700000,Series A,Feb-21
DeFi Wizard,United States,Blockchain,750000,Seed,Feb-21
Async Art,United States,Blockchain,2000000,Seed,Feb-21
Axoni,United States,Blockchain,31000000,Series B,Feb-21
DFX Finance,United States,Blockchain,5000000,Seed,Feb-21
Kong Inc.,United States,Cloud Computing,100000000,Series D,Feb-21
OutSystems,United States,Cloud Computing,150000000,Series E,Feb-21
Honeycomb,United States,Cloud Computing,20000000,Series B,Feb-21
Sentry,United States,Cloud Computing,60000000,Series D,Feb-21
ScienceLogic,United States,Cloud Computing,105000000,Series E,Feb-21
Platform9,United States,Cloud Computing,12500000,Series D,Feb-21
HowGood,United States,Cloud Computing,6000000,Series A,Feb-21
Nobl9,United States,Cloud Computing,21000000,Series B,Feb-21
Rescale,United States,Cloud Computing,50000000,Series C,Feb-21
Aviatrix Systems,United States,Cloud Computing,75000000,Series D,Feb-21
Pex,United States,Cloud Computing,57000000,Series A,Feb-21
Commsor,United States,Community,16000000,Series A,Feb-21
Maple,United States,Consumer,3500000,Seed,Feb-21
ProjectDiscovery,United States,Cyber Security,1700000,Seed,Feb-21
1Kosmos,United States,Cyber Security,15000000,Series A,Feb-21
Cyble,United States,Cyber Security,200000,Pre-Seed,Feb-21
Armis Security,United States,Cyber Security,125000000,Series D,Feb-21
PerimeterX,United States,Cyber Security,57000000,Series D,Feb-21
Census,United States,Cyber Security,16000000,Series A,Feb-21
Alloy Automation,United States,E-Commerce Software,5000000,Seed,Feb-21
Burrow,United States,E-Commerce Software,25000000,Series C,Feb-21
Savage X,United States,E-Commerce Store,115000000,Series B,Feb-21
Good Eggs,United States,E-Commerce Store,100000000,Series D,Feb-21
Healthy Roots Dolls,United States,E-Commerce Store,1000000,Seed,Feb-21
Zencastr,United States,E-Commerce Store,4600000,Seed,Feb-21
Nanit,United States,E-Commerce Store,25000000,Series C,Feb-21
BloomNation,United States,E-Commerce Store,11000000,Series B,Feb-21
Tovala,United States,E-Commerce Store,30000000,Series C,Feb-21
talkshoplive,United States,E-Commerce Store,3000000,Seed,Feb-21
Heyday,United States,E-Commerce Store,20000000,Series B,Feb-21
Beam Organics,United States,E-Commerce Store,5000000,Series A,Feb-21
Codecademy,United States,Education,40000000,Series D,Feb-21
Reforge,United States,Education,21000000,Series A,Feb-21
Photomath,United States,Education,23000000,Series B,Feb-21
SplashLearn,United States,Education,18000000,Series C,Feb-21
AdmitHub,United States,Education,14000000,Series B,Feb-21
Dandelion Energy,United States,Energy,30000000,Series B,Feb-21
Anchorage,United States,Finance,80000000,Series C,Feb-21
Stori Card,United States,Finance,32500000,Series B,Feb-21
NYMBUS,United States,Finance,53000000,Series C,Feb-21
EarnUp,United States,Finance,25000000,Series B,Feb-21
Human Interest,United States,Finance,55000000,Series C,Feb-21
SoLo Funds,United States,Finance,10000000,Series A,Feb-21
Zeta,United States,Finance,1500000,Pre-Seed,Feb-21
First Boulevard,United States,Finance,5000000,Seed,Feb-21
Built Technologies,United States,Finance,88000000,Series C,Feb-21
Vivino,United States,Food and Beverage,155000000,Series D,Feb-21
Peatos,United States,Food and Beverage,12500000,Series B,Feb-21
Foxtrot,United States,Food and Beverage,42000000,Series B,Feb-21
Millions,United States,Gaming,3000000,Seed,Feb-21
Jackpocket,United States,Gaming,50000000,Series C,Feb-21
Redox,United States,Health Care,45000000,Series D,Feb-21
Medisafe,United States,Health Care,30000000,Series C,Feb-21
Miroculus,United States,Health Care,45000000,Series B,Feb-21
ABclonal,United States,Health Care,93000000,Series C,Feb-21
Modern Health,United States,Health Care,74000000,Series D,Feb-21
Inivata,United States,Health Care,35000000,Series C,Feb-21
Plume,United States,Health Care,14000000,Series A,Feb-21
DocSpace,United States,Health Care,100000,Pre-Seed,Feb-21
Alma,United States,Health Care,28000000,Series B,Feb-21
Carevive Systems,United States,Health Care,18000000,Series C,Feb-21
Evolve Biosystems,United States,Health Care,55000000,Series D,Feb-21
FOLX Health,United States,Health Care,25000000,Series A,Feb-21
BetterUp,United States,Human Resources,125000000,Series D,Feb-21
Torch,United States,Human Resources,25000000,Series B,Feb-21
GoContractor,United States,Human Resources,5000000,Series A,Feb-21
Public.com,United States,Investing,220000000,Series D,Feb-21
Vested Finance,United States,Investing,3600000,Seed,Feb-21
Titan,United States,Investing,12500000,Series A,Feb-21
Kalshi,United States,Investing,30000000,Series A,Feb-21
Shippo,United States,Logistics,45000000,Series D,Feb-21
Fictiv,United States,Manufacturing,35000000,Series D,Feb-21
Abound,United States,Marketplace,22900000,Series A,Feb-21
Newsela,United States,Media,100000000,Series D,Feb-21
Splice,United States,Music,55000000,Series D,Feb-21
Divvy,United States,Real Estate,110000000,Series C,Feb-21
Mighty Buildings,United States,Real Estate,40000000,Series B,Feb-21
LeaseLock,United States,Real Estate,52000000,Series B,Feb-21
UiPath,United States,Robotics,750000000,Series F,Feb-21
Locus Robotics,United States,Robotics,150000000,Series E,Feb-21
Reddit,United States,Social Network,250000000,Series E,Feb-21
Timeshifter,United States,Travel,2000000,Seed,Feb-21
ZeroAvia,United States,Aerospace,24300000,Series A,Mar-21
Hugging Face,United States,Artificial Intelligence,40000000,Series B,Mar-21
6sense,United States,Artificial Intelligence,125000000,Series D,Mar-21
CopyAI,United States,Artificial Intelligence,2900000,Seed,Mar-21
SchooLinks,United States,Artificial Intelligence,8300000,Series A,Mar-21
WorkFusion,United States,Artificial Intelligence,220000000,Series F,Mar-21
Icertis,United States,Artificial Intelligence,80000000,Series F,Mar-21
Viz,United States,Artificial Intelligence,71000000,Series C,Mar-21
Uniphore,United States,Artificial Intelligence,140000000,Series D,Mar-21
Dataminr,United States,Artificial Intelligence,475000000,Series F,Mar-21
Bunch,United States,Artificial Intelligence,1000000,Seed,Mar-21
OctoML,United States,Artificial Intelligence,28000000,Series B,Mar-21
Pico Interactive,United States,Augmented Reality,37400000,Series B,Mar-21
Substack,United States,B2B Software,65000000,Series B,Mar-21
Yotpo,United States,B2B Software,230000000,Series F,Mar-21
Pipe,United States,B2B Software,50000000,Series A,Mar-21
Docker,United States,B2B Software,23000000,Series B,Mar-21
Airtable,United States,B2B Software,270000000,Series E,Mar-21
Fetch Rewards,United States,B2B Software,210000000,Series D,Mar-21
Stream,United States,B2B Software,38000000,Series B,Mar-21
Socure,United States,B2B Software,100000000,Series D,Mar-21
Notarize,United States,B2B Software,130000000,Series D,Mar-21
SafeGraph,United States,B2B Software,45000000,Series B,Mar-21
Bevy,United States,B2B Software,40000000,Series C,Mar-21
Ecomedes,United States,B2B Software,3250000,Seed,Mar-21
75F,United States,B2B Software,4750000,Series A,Mar-21
KUDO,United States,B2B Software,21000000,Series A,Mar-21
AnyRoad,United States,B2B Software,10000000,Series A,Mar-21
Parabol,United States,B2B Software,8000000,Series A,Mar-21
Attentive,United States,B2B Software,470000000,Series E,Mar-21
Price.com,United States,B2B Software,10000000,Seed,Mar-21
Windfall,United States,B2B Software,21000000,Series A,Mar-21
DataGrail,United States,B2B Software,30000000,Series B,Mar-21
River Financial,United States,Blockchain,12000000,Series A,Mar-21
BlockFi,United States,Blockchain,350000000,Series D,Mar-21
evaluate.market,United States,Blockchain,1600000,Pre-Seed,Mar-21
Connext,United States,Blockchain,2200000,Seed,Mar-21
MobileCoin,United States,Blockchain,11350000,Series A,Mar-21
Syndicate,United States,Blockchain,1000000,Seed,Mar-21
Element Finance,United States,Blockchain,4400000,Seed,Mar-21
Fireblocks,United States,Blockchain,133000000,Series C,Mar-21
PureStake,United States,Blockchain,6000000,Series A,Mar-21
Esprezzo,United States,Blockchain,2000000,Seed,Mar-21
Airbyte,United States,Cloud Computing,5200000,Seed,Mar-21
Tomorrow.io,United States,Cloud Computing,77000000,Series D,Mar-21
HYCU,United States,Cloud Computing,87500000,Series A,Mar-21
Yugabyte,United States,Cloud Computing,48000000,Series C,Mar-21
Karbon,United States,Cloud Computing,10000000,Series A,Mar-21
Tetrate,United States,Cloud Computing,40000000,Series B,Mar-21
Populus,United States,Cloud Computing,5000000,Seed,Mar-21
ChurnZero,United States,Cloud Computing,25000000,Series B,Mar-21
Language I/O,United States,Cloud Computing,5000000,Series A,Mar-21
Striim,United States,Cloud Computing,50000000,Series C,Mar-21
ActionIQ,United States,Cloud Computing,68000000,Series C,Mar-21
On Deck,United States,Community,20000000,Series A,Mar-21
Unite Us,United States,Community,150000000,Series C,Mar-21
Cleo,United States,Community,40000000,Series C,Mar-21
Neeva,United States,Consumer,40000000,Series B,Mar-21
Snyk,United States,Cyber Security,300000000,Series E,Mar-21
SecurityScorecard,United States,Cyber Security,180000000,Series E,Mar-21
Cyware,United States,Cyber Security,30000000,Series B,Mar-21
Feedzai,United States,Cyber Security,200000000,Series D,Mar-21
Trust Stamp,United States,Cyber Security,1000000,Series A,Mar-21
OpenOcean,United States,Data,2000000,Seed,Mar-21
Skycatch,United States,Drones,25000000,Series C,Mar-21
Webscale,United States,E-Commerce Software,26000000,Series C,Mar-21
Lolli,United States,E-Commerce Store,5000000,Seed,Mar-21
Harry's,United States,E-Commerce Store,155000000,Series E,Mar-21
Section4,United States,Education,30000000,Series A,Mar-21
Project Wayfinder,United States,Education,1500000,Seed,Mar-21
Flutterwave,United States,Finance,170000000,Series C,Mar-21
Fei Protocol,United States,Finance,19000000,Series A,Mar-21
M1 Finance,United States,Finance,75000000,Series D,Mar-21
Greenwood Bank,United States,Finance,40000000,Series A,Mar-21
Flywire,United States,Finance,60000000,Series F,Mar-21
Gatsby,United States,Finance,10000000,Series A,Mar-21
Alt,United States,Finance,31000000,Series A,Mar-21
Afriex,United States,Finance,1200000,Seed,Mar-21
Clari,United States,Finance,150000000,Series E,Mar-21
Sakara Life,United States,Food and Beverage,15000000,Series B,Mar-21
Mason Dixie Foods,United States,Food and Beverage,6300000,Series A,Mar-21
iFoodDS,United States,Food and Beverage,15000000,Series A,Mar-21
Frost Giant Studios,United States,Gaming,5000000,Seed,Mar-21
Rogue Games,United States,Gaming,2500000,Series A,Mar-21
ZenSports,United States,Gaming,2400000,Series A,Mar-21
Ryu Games,United States,Gaming,2300000,Seed,Mar-21
HiDEF,United States,Gaming,7500000,Series A,Mar-21
Manticore Games,United States,Gaming,100000000,Series C,Mar-21
Unchained Capital,United States,Health Care,5500000,Seed,Mar-21
Forward,United States,Health Care,225000000,Series D,Mar-21
Ginger,United States,Health Care,100000000,Series E,Mar-21
Caribou Biosciences,United States,Health Care,115000000,Series C,Mar-21
Cityblock Health,United States,Health Care,192000000,Series C,Mar-21
AppliedVR,United States,Health Care,29000000,Series A,Mar-21
Evidation Health,United States,Health Care,153000000,Series E,Mar-21
Ro,United States,Health Care,500000000,Series D,Mar-21
Insitro,United States,Health Care,400000000,Series C,Mar-21
Glooko,United States,Health Care,30000000,Series D,Mar-21
Beam Dental,United States,Health Care,80000000,Series E,Mar-21
Pear Therapeutics,United States,Health Care,20000000,Series D,Mar-21
CirrusMD,United States,Health Care,20000000,Series C,Mar-21
DispatchHealth,United States,Health Care,200000000,Series D,Mar-21
Komodo Health,United States,Health Care,220000000,Series E,Mar-21
TytoCare,United States,Health Care,50000000,Series D,Mar-21
RefleXion Medical,United States,Health Care,40000000,Series D,Mar-21
Crossover Health,United States,Health Care,168000000,Series D,Mar-21
Pace mate,United States,Health Care,8000000,Series A,Mar-21
EGenesis,United States,Health Care,125000000,Series C,Mar-21
Lattice,United States,Human Resources,60000000,Series E,Mar-21
Republic,United States,Investing,36000000,Series A,Mar-21
MainStreet,United States,Investing,60000000,Series A,Mar-21
Stockal,United States,Investing,1000000,Seed,Mar-21
EnrichHER,United States,Investing,700000,Seed,Mar-21
AcreTrader,United States,Investing,12000000,Series A,Mar-21
URB-E,United States,Logistics,5000000,Series A,Mar-21
FourKites,United States,Logistics,100000000,Series D,Mar-21
Stord,United States,Logistics,65000000,Series C,Mar-21
SuperRare,United States,Marketplace,9000000,Series A,Mar-21
Cameo,United States,Marketplace,100000000,Series C,Mar-21
Connected2Fiber,United States,Marketplace,12000000,Series B,Mar-21
Whatnot,United States,Marketplace,20000000,Series A,Mar-21
Looped,United States,Media,7700000,Seed,Mar-21
Fuzzy,United States,Pets,18000000,Series B,Mar-21
Belong,United States,Real Estate,40000000,Series B,Mar-21
TalentQL,United States,Recruiting,120000,Pre-Seed,Mar-21
Apploi,United States,Recruiting,8000000,Series B,Mar-21
User Interviews,United States,Recruiting,10000000,Series A,Mar-21
UnitedMasters,United States,Social Network,50000000,Series B,Mar-21
Around,United States,Social Network,10000000,Series A,Mar-21
Daily.co,United States,Social Network,15000000,Series A,Mar-21
Gopuff,United States,Transportation,1150000000,Series G,Mar-21
Tripscout,United States,Travel,2300000,Seed,Mar-21
Ecovative Design,United States,Wellness,60000000,Series D,Mar-21
Tonal,United States,Wellness,250000000,Series E,Mar-21
Higharc,United States,3D,21000000,Series A,Apr-21
HawkEye 360,United States,Aerospace,55000000,Series C,Apr-21
Albedo,United States,Aerospace,10000000,Seed,Apr-21
Hazel Technologies,United States,Agriculture,70000000,Series C,Apr-21
Scale AI,United States,Artificial Intelligence,325000000,Series E,Apr-21
Snorkel AI,United States,Artificial Intelligence,35000000,Series B,Apr-21
GumGum,United States,Artificial Intelligence,75000000,Series E,Apr-21
Phenom People,United States,Artificial Intelligence,100000000,Series D,Apr-21
Aisera,United States,Artificial Intelligence,40000000,Series C,Apr-21
Virtualitics,United States,Artificial Intelligence,18000000,Series B,Apr-21
Kyligence,United States,Artificial Intelligence,70000000,Series D,Apr-21
Mem Labs,United States,Artificial Intelligence,5600000,Seed,Apr-21
SambaNova Systems,United States,Artificial Intelligence,676000000,Series D,Apr-21
Narrativa,United States,Artificial Intelligence,1300000,Series A,Apr-21
Hive,United States,Artificial Intelligence,50000000,Series D,Apr-21
Leo,United States,Augmented Reality,3000000,Seed,Apr-21
Classy,United States,B2B Software,118000000,Series D,Apr-21
ActiveCampaign,United States,B2B Software,240000000,Series C,Apr-21
Streamlit,United States,B2B Software,35000000,Series B,Apr-21
